Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine
Volkswagen,Gol Sedán,1.6L Confort,USD,"u$s7,950",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol-sedan/pe/RT_PU_77505c49868448659e82574478c67a28.webp,2012,96000 km,gasolina,automática 5 velocidades,Arequipa |Arequipa,Plata,4 en línea,tela,1598 cc
Nissan,Frontier,S 4X4,USD,"u$s26,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/frontier/pe/RT_PU_e1704ddc17d94ac5a34147f7eeeb2045.webp,2022,6700 km,diesel,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,2488 cc
Jeep,Grand Cherokee,3.6L Limited Full 4x4,USD,"u$s21,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_81342502729d4ed2957265e7273a01a4.webp,2015,107000 km,gasolina,automática 8 velocidades,Lima |Lima,Gris,6 en V,cuero,3604 cc
Hyundai,Santa Fe,2.4L GL 4x2 Full,USD,"u$s29,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/santa-fe/pe/RT_PU_1a15d7dee3c34a97bf4c8ce051a61164.webp,2019,87000 km,gasolina,manual 6 velocidades,Arequipa |Arequipa,Negro,4 en línea,tela,2359 cc
Nissan,Sentra,2.0L,USD,"u$s19,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/sentra/pe/RT_PU_5600d7c7511d420682b8b34419c5fc61.webp,2023,6600 km,gasolina,manual 6 velocidades,Callao |Callao,Gris Acero,4 en línea,tela,1997 cc
Chevrolet,Onix Sedan,1.0L Premier AT,USD,"u$s10,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/onix-sedan/pe/RT_PU_1bb7952cd31349fea8b61c7fb5ac1ca7.webp,2021,43500 km,gasolina,automática 6 velocidades,Lima |Lima,Negro,3 en línea,símil cuero,1000 cc
Mitsubishi,L300,Panel 2.5L Di,USD,"u$s6,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mitsubishi/l300/pe/RT_PU_2b27e24f059747debd5e0cda0734a7a7.webp,2010,414000 km,diesel,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,2477 cc
KIA,Seltos,EX Plus,USD,"u$s19,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/seltos/pe/RT_PU_b84ea292f68c4e2c9d61a8408f3b772c.webp,2020,18000 km,gasolina,manual 6 velocidades o automática 6 velocidades,Lima |Lima,Rojo,4 en línea,tela,1591 cc
Hyundai,Tucson,2.0L GL 4x2 Sport Aut,USD,"u$s21,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_87c0c999247349e599b3e35aa64f7126.webp,2018,30150 km,gasolina,automática secuencial 6 velocidades,Lima |Lima,Gris,4 en línea,tela,1999 cc
Suzuki,Swift,GLS AT,PEN,"$14,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/swift/pe/RT_PU_4d808a373ca74541a51f20e6fba4c511.webp,2022,25700 km,gasolina,automática 6 velocidades,Lima |Lima,Plata,4 en línea,tela,1197 cc
Ford,Escape,Titanium 2.0L,USD,"u$s20,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/escape/pe/RT_PU_8bdb768596ba4445b651ef5dc43649c1.webp,2019,52000 km,gasolina,automática 8 velocidades con AutoStick®,Piura |Piura,Negro,4 en línea,cuero,2000 cc
Chevrolet,Aveo Sedán,1.4L LT Aut,USD,"u$s7,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/aveo-sedan/pe/RT_PU_c33849b3b845460fb04fcfce76598fef.webp,2013,120000 km,gasolina,automática 4 velocidades,Lima |Lima,Plata,4 en línea,tela,1399 cc
Jetour,X70,DLX,USD,"u$s16,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jetour/x70/pe/RT_PU_1b236c175e4b4bc987d382455cdceccf.webp,2022,26000 km,gasolina,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,cuero,1498 cc
Foton,Sauvana,Luxury 4X2,USD,"u$s19,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/foton/sauvana/pe/RT_PU_8d20257264b044a0849533a030f0cf8d.webp,2017,88500 km,diesel,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,2780 cc
Ford,Ecosport,1.6 Freestyle,USD,"u$s11,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/ecosport/pe/RT_PU_3d73bf3c6d8d4543a42669e56774fcdd.webp,2013,63500 km,gasolina,manual 5 velocidades,Huanuco |Huanuco,Negro,4 en línea,tela,1600 cc
Honda,Accord,EXL 2.4L Aut,USD,"u$s100,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/accord/pe/RT_PU_12345ece060d4d17a51ad7f4e5b4fa2f.webp,2009,65000 km,gasolina,automática 5 velocidades,Lima |Lima,Plata,4 en línea,cuero,2354 cc
KIA,Picanto Cross,1.2L EX Aut,USD,"u$s14,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/picanto-cross/pe/RT_PU_7b9320f80abf4b57b7c35da0606fd895.webp,2023,1300 km,gasolina,automática 4 velocidades,Lima |Lima,Plata,3 en línea,tela,1248 cc
Hyundai,Grand i10 Sedan,1.2L Full,USD,"u$s11,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/grand-i10-sedan/pe/RT_PU_0d19d1d9961244eab04fcc1b6445fd5d.webp,2019,20800 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,tela,1248 cc
Honda,CR-V,L 4x2 Aut,PEN,"$14,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/cr-v/pe/RT_PU_3dd4157a72964ae49a5c5fd1a6e7e697.webp,2015,130000 km,gasolina,automática 5 velocidades,Lima |Lima,Plata,4 en línea,tela,2354 cc
Geely,Okavango,Exclusive 1.5 DCT,USD,"u$s19,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/okavango/pe/RT_PU_c1cb54320a3e4895b6796729447b2f74.webp,2022,14000 km,,automática 7 velocidades,Arequipa |Arequipa,Blanco,,símil cuero,
Toyota,Rush,1.5L Full,USD,"u$s20,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rush/pe/RT_PU_116bd9a8bfc84325bf7293b83ae4157e.webp,2021,36500 km,gasolina,manual 5 velocidades,Lima |Lima,Rojo,4 en línea,tela,1496 cc
Subaru,Forester,2.0L X Aut,USD,"u$s26,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/forester/pe/RT_PU_6c52108246c544569f2d36dbf00fb148.webp,2021,3500 km,gasolina,automática 4 velocidades Sportshift,Lima |Lima,Plata,4 Bóxer,tela,1994 cc
Renault,Koleos,2.5L Privilege CVT 4x4,USD,"u$s19,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/koleos/pe/RT_PU_4253c48054f4471cbacabafdeecc6b27.webp,2017,45000 km,gasolina,Xtronic CVT,Lima |Lima,Gris,4 en línea,cuero,2488 cc
Peugeot,Traveller,2.0L HDi Combi L3 150HP,USD,"u$s23,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/peugeot/traveller/pe/RT_PU_8396eb460072453a84ddc9047d78911c.webp,2019,80000 km,gasolina,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,1997 cc
Chevrolet,N300 Move,1.2 Pasajeros Full,USD,"u$s6,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/n300-move/pe/RT_PU_c0443e0df97b4059859738a87b8e6b13.webp,2013,130000 km,gasolina,manual 5 velocidades,Lima |Lima,Bronce,4 en línea,tela,1200 cc
Volkswagen,Bora,Europa 2.0L Aut,USD,"u$s8,760",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/bora/pe/RT_PU_27f189b40f5a4675a0f51369cd2c4d04.webp,2014,110000 km,gasolina,Tiptronic de 6 velocidades,Lima |Lima,Gris Platinium,4 en línea,tela,1984 cc
Chevrolet,Cruze Sedán,1.8 LS Full Aut,USD,"u$s7,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/cruze-sedan/pe/RT_PU_448c6609e15e4ad389f68be46c17ae3e.webp,2013,120000 km,gasolina,automática secuencial 6 velocidades,Lima |Lima,Plata,4 en línea,cuero,1799 cc
Nissan,Frontier,LE 4X4,USD,"u$s38,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/frontier/pe/RT_PU_5bebef39bba944e7a353247eca93d417.webp,2022,31000 km,diesel,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,cuero,2488 cc
Volkswagen,Jetta,1.4L TSI Trendline,USD,"u$s19,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/jetta/pe/RT_PU_0f06e619c00a4ec79bc46f17ecf53096.webp,2020,44000 km,gasolina,manual 6 velocidades,Lima |Lima,Azul,4 en línea,tela,1398 cc
KIA,Cerato,1.6 EX Aut,USD,"u$s14,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_4577cafd7359473ea2f19bd6c2e27b0b.webp,2015,91493 km,gasolina,automática 6 velocidades,Lima |Lima,Beige Arena,4 en línea,tela,1599 cc
Nissan,Qashqai,Tekna 2.0L Aut,USD,"u$s10,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/qashqai/pe/RT_PU_fdc56878f2ef42b5807b03e5f788a5a6.webp,2012,98000 km,gasolina,Xtronic CVT con modo manual (6 vel),Lima |Lima,Plata,4 en línea,tela,1997 cc
Hyundai,H1 Van,2.5L GL TDI 3 Pas,USD,"u$s12,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/h1-van/pe/RT_PU_c074834558d84d80bf23395d1125ed5b.webp,2017,142976 km,diesel,manual,Lima |Lima,Blanco,4 en línea,tela,2476 cc
KIA,Rio,1.4 EX Full,USD,"u$s9,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio/pe/RT_PU_14811410e40048ff90b55d66ca150153.webp,2014,88000 km,gasolina,manual 6 velocidades,Lima |Lima,Gris Grafito,4 en línea,tela,1399 cc
KIA,Soul,EX Full Aut,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/soul/pe/RT_PU_ba6bd895ce96405aa7f087ba7991669f.webp,2012,77000 km,gasolina,automática 4 velocidades,Lima |Lima,Blanco,4 en línea,tela,1591 cc
Jeep,Renegade,Sport,USD,"u$s19,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/renegade/pe/RT_PU_cc4e2f5a0c734e208cd7a2841dc6b236.webp,2018,40000 km,gasolina,manual 6 velocidades,Lima |Lima,Azul,4 en línea,tela,1747 cc
Honda,Accord,2.0L Turbo Aut,USD,"u$s4,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/accord/pe/RT_PU_d800cbabd0c54b4e9ea31f9cf33485e6.webp,1995,133999 km,gasolina,automática 10 velocidades,Lima |Lima,Azul Perla,4 en línea,cuero,1996 cc
Ford,Ecosport,1.5L Freestyle,USD,"u$s13,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/ecosport/pe/RT_PU_13f47f4af4454622b22303b4306ec726.webp,2017,99200 km,gasolina,manual 5 velocidades,Lima |Lima,Rojo,3 en línea,símil cuero y tela,1500 cc
Chevrolet,Prisma,1.4L LT,USD,"u$s8,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_6874e6dbeaaf43cd8969abc185d91622.webp,2019,200000 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,tela,1389 cc
Subaru,Forester,2.0 AWD,USD,"u$s10,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/forester/pe/RT_PU_18d391b7d2a34d04bb09e5b058185cee.webp,2009,117000 km,gasolina,automática 4 velocidades,Lima |Lima,Gris,4 en línea,gamuza,2000 cc
Mazda,CX-5,2.0L GS High Aut,USD,"u$s22,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/cx-5/pe/RT_PU_476924360344442cbc4038ae30ec8723.webp,2018,42000 km,gasolina,automática secuencial 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,1998 cc
Toyota,Yaris Sedán,1.3L GNV,PEN,"$31,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/yaris-sedan/pe/RT_PU_c4c6993611bf4092903aa8963b2882c4.webp,2011,125100 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,tela,1329 cc
Volkswagen,Jetta,2.5L Style,USD,"u$s5,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/jetta/pe/RT_PU_f76168cb20f245bebdf954b70b47e663.webp,2006,140000 km,gasolina,manual 5 velocidades,Lima |Lima,Azul,4 en línea,tela,2480 cc
Chevrolet,Tracker Turbo,1.2L LTZ,USD,"u$s18,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/tracker-turbo/pe/RT_PU_79db6b04b47b4dc8be51c8fdc08471f3.webp,2023,7500 km,gasolina,manual 5 velocidades,Lima |Lima,Gris,3 en línea,símil cuero y tela,1200 cc
JAC,Refine,2.4L 12P,USD,"u$s12,100",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_9eb8bae07e824dbeb25f87b0a3c9c758.webp,2012,37000 km,gasolina,manual 5 velocidades,Lima |Lima,Gris,4 en línea,tela,2351 cc
Subaru,XV,1.6i AWD Aut,USD,"u$s18,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/xv/pe/RT_PU_823f4d3c747d4d3bbca9ac533b07b06d.webp,2018,49350 km,gasolina,automática CVT,Lima |Lima,Negro,4 Bóxer,tela,1599 cc
Renault,Fluence,2.0 Dynamique Aut,USD,"u$s9,400",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/fluence/pe/RT_PU_28c269e5cecf4e7b815e16a5ffd025fc.webp,2015,59000 km,gasolina,automática CVT,Lima |Lima,Rojo Fuego,4 en línea,cuero,1997 cc
Subaru,Legacy,2.0L X,PEN,"$6,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/legacy/pe/RT_PU_8cbb4b338f92487d92c69a53291f8c9a.webp,2007,102000 km,gasolina,manual 6 velocidades,Arequipa |Arequipa,Gris,4 Bóxer,tela,1994 cc
Peugeot,207 Compact,One Line 1.4L 5P,USD,"u$s6,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/peugeot/207-compact/pe/RT_PU_4fc7e4ce7f6a462a93614cd4ef2ec56e.webp,2012,104000 km,gasolina,manual 5 velocidades,Lima |Lima,Gris,4 en línea,tela,1360 cc
JAC,T8,2.0L Comfort 4x4,USD,"u$s15,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/t8/pe/RT_PU_2ce1d1a85b344be4b2c574abd89fe247.webp,2022,62000 km,diesel,manual 6 velocidades,Trujillo |La Libertad,Plata,4 en línea,tela,1999 cc
Hyundai,H-100,2.5L GL CRDi,USD,"u$s13,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/h-100/pe/RT_PU_ce9fae927061418fbba99d0bcf5bc54c.webp,2014,120000 km,diesel,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,2497 cc
Volkswagen,Crossfox,1.6L Highline,USD,"u$s12,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_dd1790b3314b4bd2b01c93684c7487dd.webp,2017,27902 km,gasolina,manual 5 velocidades,Lima |Lima,Gris,4 en línea,tela,1598 cc
Toyota,Fortuner,2.7L Full City 4x2 Aut,USD,"u$s29,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/fortuner/pe/RT_PU_fcebf39891df4723a389b2d595625c53.webp,2017,93000 km,gasolina,automática secuencial 6 velocidades,Lima |Lima,Marrón,4 en línea,tela,2694 cc
Jeep,Grand Cherokee,3.6L Limited Full 4x4,USD,"u$s33,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_cda525de82c14df6bd2f860541e0ba4b.webp,2018,68000 km,gasolina,automática 8 velocidades,Lima |Lima,Gris,6 en V,cuero,3604 cc
Jaguar,XE,2.0L Prestige,USD,"u$s29,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jaguar/xe/pe/RT_PU_7711c63122ae47e89fbcad587a197ac9.webp,2018,15000 km,gasolina,automática 8 velocidades,Lima |Lima,Plata,4 en línea,tela,1999 cc
Hyundai,i20 Active,1.4L Active Cross Sport,USD,"u$s12,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/i20-active/pe/RT_PU_acdeb1168ae44e1ba7ad0ae4e3e98574.webp,2018,73000 km,gasolina,manual 6 velocidades,Arequipa |Arequipa,Gris,4 en línea,tela,1368 cc
Hyundai,Tucson,2.0L GL 4x2 Sport,USD,"u$s12,600",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_84e1083cae34467e88d5fb00d4cabf52.webp,2013,53000 km,gasolina,manual 6 velocidades,Lima |Lima,Bronce,4 en línea,tela,1999 cc
JAC,T8,2.0L Comfort 4x4,USD,"u$s18,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/t8/pe/RT_PU_1afd6663deb04d0b8fb705dabcd50e3f.webp,2022,48000 km,diesel,manual 6 velocidades,Mariscal Nieto |Moquegua,Gris,4 en línea,tela,1999 cc
Nissan,Sentra,Ex Saloon 1.6,USD,"u$s4,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/sentra/pe/RT_PU_36cf1018b4b14728a36b17b108847a7d.webp,2002,150000 km,gasolina,manual 5 velocidades,Lima |Lima,Azul,4 en línea,gamuza,1600 cc
BYD,Han EV,GS,USD,"u$s27,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/byd/han-ev/pe/RT_PU_b11c366e550f485c83ee7dd2b730ecb7.webp,2024,150 km,,automática,Lima |Lima,Blanco,,cuero,
Ford,Ecosport,1.6L SE,USD,"u$s8,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/ecosport/pe/RT_PU_843d1290cb6a4a7f9b4b253fe006d398.webp,2011,65000 km,gasolina,manual 5 velocidades,Lima |Lima,Azul,4 en línea,tela,1600 cc
Hyundai,Grand i10 Sedan,1.2L Full Aut,USD,"u$s9,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/grand-i10-sedan/pe/RT_PU_585f8973bc43473fb1146aab08f0c198.webp,2018,26900 km,gasolina,automática 4 velocidades,Lima |Lima,Plata,4 en línea,tela,1248 cc
Toyota,Fortuner,2.7L Full City 4x2 Aut,USD,"u$s35,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/fortuner/pe/RT_PU_49b496ca927f4cacb1645fa5dfbb7cf3.webp,2021,55500 km,gasolina,automática secuencial 6 velocidades,Lima |Lima,Negro,4 en línea,tela,2694 cc
Chevrolet,Sonic,1.6 LT Full Aut,USD,"u$s8,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/sonic/pe/RT_PU_bf596428f7994301bb2a0dcb0c5c771e.webp,2013,120000 km,gasolina,automática 6 velocidades,Lima |Lima,Azul Royal,4 en línea,tela,1600 cc
Changan,CS15,1.5L Comfort,USD,"u$s10,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/changan/cs15/pe/RT_PU_6dee840268f94e00993d46cbcb50a69e.webp,2022,28500 km,gasolina,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,1480 cc
Suzuki,Swift,1.2 GA AC,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/swift/pe/RT_PU_6aeefa4b8cf54263bf259a98e9ce6db3.webp,2016,49500 km,gasolina,manual 5 velocidades,Lima |Lima,Rojo Perla,4 en línea,tela,1200 cc
Dodge,Durango,3.6L Limited,USD,"u$s26,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dodge/durango/pe/RT_PU_5bb986744c664cda95fad332f02ddb30.webp,2015,89900 km,gasolina,automática 8 velocidades,Lima |Lima,Negro,6 en V,tela,3598 cc
Honda,Civic,1.5L Sport,USD,"u$s4,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_c2eb2145b49b43559636cb86916394bf.webp,2002,130000 km,gasolina,automática 5 velocidades,Lima |Lima,Rojo,4 en línea,tela,1495 cc
Hyundai,Accent Sedán,1.4L GL Full,USD,"u$s15,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/accent-sedan/pe/RT_PU_9f730da1bed74e09bbc941f68b6cfa12.webp,2023,21500 km,gasolina,manual 6 velocidades,Lima |Lima,Azul,4 en línea,tela,1368 cc
KIA,Sportage,1.6T X-Line,USD,"u$s31,990",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_345d3c7076794aa9a8e842dd8f40816c.webp,2023,21000 km,gasolina,automática DCT - 7 velocidades,Lima |Lima,Blanco Nieve,4 en línea,cuero,1598 cc
Geely,Emgrand 7,1.8L Comfort,USD,"u$s14,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/emgrand-7/pe/RT_PU_264d857115854953bc01fcba5304ad44.webp,2020,50000 km,gasolina,manual 5 velocidades,Lima |Lima,Azul,4 en línea,símil cuero,1808 cc
KIA,Sorento,2.4 EX Sport 4x2,USD,"u$s25,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sorento/pe/RT_PU_0c212197abec4653887ffc38bb4bbc37.webp,2019,33500 km,gasolina,manual 6 velocidades,Lima |Lima,Azul,4 en línea,tela,2359 cc
Mazda,3 Sport,2.0L Core Aut,PEN,"$13,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sport/pe/RT_PU_bf82ad4392de4d27931bae3e0236c6f2.webp,2015,68000 km,gasolina,manual 6 velocidades,Lima |Lima,Azul,4 en línea,tela,1998 cc
Toyota,Rav4,2.5L 4x2 Aut,USD,"u$s18,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_39709e480c91408fb64a0f2471bdc478.webp,2015,54300 km,gasolina,automática 6 velocidades,Lima |Lima,Negro,4 en línea,tela,2494 cc
Toyota,86,2.0L GT,USD,"u$s20,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/86/pe/RT_PU_ba639f6eee4e40d893a8010f242b9f7e.webp,2014,65000 km,gasolina,manual 6 velocidades,Arequipa |Arequipa,Rojo,4 Bóxer,tela,1998 cc
Dongfeng,SX5,Comfort,USD,"u$s12,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dongfeng/sx5/pe/RT_PU_ecd128d0b40c477f965b4e11caf8f138.webp,2022,16000 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,símil cuero,1590 cc
Dodge,Durango,3.6L GT,USD,"u$s42,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dodge/durango/pe/RT_PU_bfdc6c54c7c44a14bd7738babeff564b.webp,2020,9000 km,gasolina,automática 8 velocidades,Lima |Lima,Negro,6 en V,cuero,3604 cc
MG,ZX,1.5L Aut Full,USD,"u$s13,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mg/zx/pe/RT_PU_f3fca44162f54b13abf58d8b2342e29a.webp,2021,20000 km,gasolina,automática 4 velocidades,Chiclayo |Lambayeque,Rojo,4 en línea,cuero,1498 cc
Hyundai,Verna,1.4L  Aut,USD,"u$s12,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/verna/pe/RT_PU_daab912825d941bb967ce4b50ab09587.webp,2022,20000 km,gasolina,automática 4 velocidades,Arequipa |Arequipa,Plata,4 en línea,tela,1400 cc
KIA,Sportage,2.0L Deluxe 4x4,USD,"u$s10,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_848ef028c9dc4db3baf9ffffc977dc32.webp,2010,90300 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,tela,2000 cc
Fiat,Uno,1.4 Way,USD,"u$s7,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/uno/pe/RT_PU_c1f58a932bdc4584b4bb60bd71aa18aa.webp,2016,119000 km,gasolina,manual 5 velocidades,Lima |Lima,Gris Tellurium,4 en línea,tela,1368 cc
Volkswagen,Kombi,"Pasajeros O4,1.6 S 2 3",PEN,"$11,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/kombi/pe/RT_PU_ebd81395c9f94d02ac770be901127001.webp,1989,79854 km,gasolina,N/D,Arequipa |Arequipa,Azul,N/D,,
Chevrolet,Tracker Turbo,1.2L RS,USD,"u$s14,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/tracker-turbo/pe/RT_PU_efb53ac94c644c2e8348f9d349d343db.webp,2021,38000 km,gasolina,automática 6 velocidades,Callao |Callao,Azul,3 en línea,símil cuero y tela,1200 cc
JMC,Carrying,2.0L CS,USD,"u$s8,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jmc/carrying/pe/RT_PU_6b6be2833b924994b55e7f9f52fd2ca1.webp,2010,131787 km,diesel,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,2771 cc
Jeep,Grand Cherokee,3.6L Limited MID 4x4,USD,"u$s48,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_c995ab71d54b4c66b4d3d14b64283518.webp,2021,71000 km,gasolina,automática 8 velocidades,Lima |Lima,Blanco,6 en V,cuero,3604 cc
Renault,Duster,1.6L Expression 4x2,USD,"u$s13,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/duster/pe/RT_PU_8a0f04a557704eb28c002b036492d175.webp,2016,45000 km,gasolina,manual 5 velocidades,Arequipa |Arequipa,Gris Beige,4 en línea,tela,1598 cc
KIA,Cerato,1.6 L,USD,"u$s15,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_71fd42002a0547c9b2ef026d5a3b1975.webp,2019,43000 km,gasolina,manual 6 velocidades,Lima |Lima,Gris,4 en línea,tela,1591 cc
Great Wall,Voleex c30,1.5L Fashionable,USD,"u$s7,400",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/great-wall/voleex-c30/pe/RT_PU_40767c40361847db80b85a88c8238e1d.webp,2016,88000 km,gasolina,manual 5 velocidades,Lima |Lima,Rojo,4 en línea,tela,1497 cc
